id;issue_id;url;description
1;partnerships function Shoes;https://erna.com;drive Home Loan Account withdrawal
2;connecting application Buckinghamshire;https://caitlyn.com;one-to-one Accounts
3;Cotton;https://deontae.net;ADP Manager Beauty
4;Berkshire Handcrafted Frozen Soap;http://esta.name;connecting Virgin Islands, British
5;Coordinator;https://lula.com;Customer-focused
6;Grocery driver;https://gloria.info;cyan Enterprise-wide
7;XSS Multi-layered Identity;http://omer.net;Avon Agent olive
8;generate Generic Cotton Soap;http://wilbert.com;Architect black HDD
9;Jewelery sensor;https://rafaela.com;harness Flat connecting
10;Table;http://garnet.org;XML
